,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value
movie_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
user_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4.003201093634867,3.920507593468782,4.155716522853641,3.527633499627882,3.920367868346472,4.1429880563498225,2.6557952324047935,4.066602843725738,4.010433523081437,3.8054892009690997,3.5363968844487657,3.5599612645096292,4.960103136067638,3.9993485134467948,3.2663449868301444,3.8868753213879983,2.3734886804924917,3.151917139459454,4.115135400229981,3.406096854597845,4.011743351305199,3.609391677183289,3.48191622032969,3.798460671188207,3.7971451393222386,3.9845673754401583,3.330566214609925,3.9905388985716073,3.45719410931405,3.1070594128617577,2.722645612968219,3.354913141190995,3.040903771640729,4.568650254480753
2,4.970694627712407,4.967977431774388,4.445440413332195,3.9035106883309707,4.831536517013209,4.706408722088586,3.3940144818363454,4.6989570122309425,4.531983257656934,4.837542270032619,3.96255776089797,4.066517191714505,4.776182594479068,4.012894434404282,3.9985066940160476,4.217545893361825,2.5263146196051927,3.54310479724471,4.198749760869402,4.398173859259752,4.993930031829341,4.5737208682486905,3.8224255103637086,4.732370834173996,4.314364190283997,4.494199462306512,4.414801761331748,4.164067208886195,3.4626150637813273,4.3895689133659435,2.9943165099056825,4.346966771076141,4.013175593727737,3.999408472862144
3,4.017214619239712,3.9856913883364244,4.955726163321764,4.088388678830067,4.528621007647391,4.271161998606605,2.8186096575685466,4.338074915047413,4.491359862587039,4.367877197267808,3.7247073611086097,3.5320323734370067,4.9649003011646,4.196561404250035,3.4435823321305112,3.621348511053536,2.739472120203439,3.4198862149463234,4.2132122235747635,3.502555816409025,4.440205559198935,3.010940944954522,3.0160186644799833,3.863071718664976,4.080990130194427,4.317098331662835,3.879842540862122,4.474670207720214,3.2059058936341427,3.2367218968203355,2.2314877899406977,2.589576875124886,3.4454375154224475,4.597348919737327
4,4.99107079987328,4.987262472214511,4.929166292378986,4.961957007835561,5.010568214104749,4.961543623015603,3.9448019605634874,5.07615585301147,4.952042003911546,5.017297333568328,4.511571793309894,3.8222885684846704,5.000354427720544,4.204214300407413,3.5828789134475167,4.371828508673948,3.1211481294493932,3.541803718117048,4.341206042717996,3.982147630430883,4.722138986674086,4.591566313305999,3.598577556470085,4.979609240599057,4.062784750757799,4.74192207922755,4.503199605879579,4.906793298935403,3.1166961533278155,3.4135248220297925,2.0075588404185782,4.223522027012653,4.171864196337087,4.644240231939138
5,4.980620339326189,4.240464615252543,5.461503921550839,4.373370583630438,5.163378206017419,4.5545366900285655,3.15167010032178,4.6372635613444135,4.982073353858942,4.919522675746204,4.143521141539208,4.106919761142475,4.968750714018093,4.677359184286289,3.2932793290252174,4.26993885815777,3.0241299507413117,3.437268990889841,4.969741410701463,3.390738022453319,3.9950501469721913,3.4891353583912608,3.108943724950207,4.432335478961947,4.505762418767169,4.722850803333056,3.737095855017693,5.074297429937583,3.0172430926223726,3.610425004002202,2.9962743761024524,2.0317974643386365,4.980753085235231,4.9873132863796386
6,4.9706672454997065,4.96453764773901,4.16891375263046,3.8777024218276948,4.5068752383757635,4.541528460924816,3.554669221340849,4.708107865278459,4.287069408849185,4.623696633305234,3.8845449708671396,3.7875892028763527,4.321852262190983,3.6316411865980847,3.906811504192693,4.0996956157572555,2.547079373407705,3.0858704494328384,3.7356837161193965,4.183804232372156,4.888017854797367,4.814850100365538,3.9070538440973204,4.846954675431064,4.01598443141676,4.21809226823683,4.734022480700096,3.838085089830886,3.475746609455055,3.811606229776929,2.0107237533638447,4.979287047896605,4.001685460606738,3.0166591068634285
7,4.978867821171161,4.184414780416159,4.220079265352798,2.041100801979988,4.145673833416448,4.238674937834001,2.8279817266048437,4.0411058323746945,4.001381211312055,4.114969347522655,3.328015244526758,4.967689563112134,4.988576596313387,4.91314125136072,4.040254217984929,4.983473444936003,2.13826851841531,2.9398000632388137,4.260113829275842,4.521540943433375,4.619427702897176,4.995939094045625,4.981604671590078,4.6932861649023945,4.547094729442996,3.9875698158907396,3.7970588954478357,3.6676759450247642,5.167535325594272,4.4464845274183995,4.283782406429556,4.51827231771739,4.581257328463824,4.002951428405838
8,4.0331826514205,4.610814283872859,4.988325965745458,4.09339681390296,4.812464551699915,4.380036611669034,3.454255789841506,4.45680272345048,4.893071470116246,5.0020924894801695,4.260888369290957,4.029741671116708,4.414411433564336,4.984762457734102,3.4821830726422087,4.04793112506874,3.310832864317331,4.057909538064623,3.6656715005770675,3.9391136564004983,5.0388729667752,3.635173112613819,3.0011859855448777,4.480265077419843,4.267463718642402,4.6975164125835835,4.961251898169344,4.964594252763453,3.4012712815536483,3.4738030238409845,2.0982028490880884,3.1545108201949064,3.795425307513705,4.455285126094237
9,4.985854494728407,4.640073709200998,4.999141378143218,4.143079556323986,4.871960434657779,4.667934900120949,3.40771369664849,4.796395638980791,4.769285922430003,4.763342749488107,4.352364138944553,4.289593297155114,4.999032368289212,4.867711585897289,3.362366548941864,4.977778018003143,2.9824036981932847,3.452966795901129,4.365656996309248,3.5887853806925643,4.595554246188425,4.565642100634318,3.9726872752517264,4.753723088633318,4.420923572328549,4.743237229918999,4.053781001868117,4.974985706230708,3.9982820687369545,3.44695579543753,2.6125912638920816,3.7347268931227955,4.461483090570839,4.890722486150922
10,4.009608273964346,3.9849438266581476,4.000587675718077,2.524613528126978,3.9245034704161976,4.251583812929672,2.7783597634102772,4.018309616067209,4.007807018574281,3.9033870124634404,2.5111605141128788,4.011527934831518,4.990412628988696,3.0193400831885393,4.950845070807869,3.5493123822230284,2.9409482123218327,2.7937140825322215,4.5164471847789,5.085206061208047,3.978706353854271,4.001600061776735,4.960474311063073,4.0371090594296275,3.644854631815736,3.5720903634271135,3.897864682270173,3.2069110690054643,4.997893388308885,5.327947126381554,2.9673079428397147,4.659117009640617,3.3004288929304204,4.020575909405939
